Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
12/3/2017,Lee Valley Tools,LEE VALLEY TOOLS,67.19,debit,Hobbies,TD GREEN VISA,,
12/3/2017,Skipthedishes.com,SKIPTHEDISHES.COM,23.78,debit,Restaurants,TD GREEN VISA,,
12/2/2017,Ottawa Pizza,OTTAWA PIZZA,10.27,debit,Restaurants,TD GREEN VISA,,
12/2/2017,Chd Displays G,CHD*DISPLAYS2G,180.73,debit,Home Improvement,TD GREEN VISA,,
12/1/2017,Loblaws,LOBLAWS 95.3,12.99,debit,Groceries,MASTERCARD,,
12/1/2017,Wine Rack,#256 WINE RACK,13.95,debit,Alcohol & Bars,TD GREEN VISA,,
12/1/2017,Tim Horton's,TIM HORTONS #3169# QTH,1.98,debit,Coffee Shops,TD GREEN VISA,,
12/1/2017,Amazon,Amazon *Marketplce CA,210.76,debit,Shopping,TD GREEN VISA,,
12/1/2017,Transfer to TD STUDENT CHEQUING ACCOUNT,Transfer to TD STUDENT CHEQUING ACCOUNT 6349656 JX432,300,debit,Transfer,TD HIGH INTEREST SAVINGS ACCOUNT,,
12/1/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 JX441,400,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
12/1/2017,Transfer from TD HIGH INTEREST SAVINGS ACCOUNT,Transfer from TD HIGH INTEREST SAVINGS ACCOUNT 6544718 JX432,300,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
12/1/2017,Transfer Td Jx,Transfer to TD Credit Card JX435,230,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
12/1/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 JX441,400,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
11/30/2017,Mortgage and Rent,,3875,,,,,
11/30/2017,Interest,INTEREST CREDIT,0.11,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
11/30/2017,Loblaws,LOBLAWS 95.3,5.78,debit,Groceries,MASTERCARD,,
11/30/2017,Loblaws,LOBLAWS 95.3,49.2,debit,Groceries,MASTERCARD,,
11/29/2017,Etsy.com,SOMMETS.COM,113.83,debit,Shopping,TD GREEN VISA,,
11/29/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,230.29,credit,Credit Card Payment,TD GREEN VISA,,
11/29/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HJ560,100,credit,Hide from Budgets & Trends,TD HIGH INTEREST SAVINGS ACCOUNT,,
11/29/2017,President Choice K,President's Choice MasterCard K3H4A9,170,debit,Credit Card Payment,TD STUDENT CHEQUING ACCOUNT,,
11/29/2017,Transfer from TD EVERY DAY SAVINGS ACCOUNT,Transfer from TD EVERY DAY SAVINGS ACCOUNT 6446058 HJ565,920,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/29/2017,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT 6544718 HJ560,100,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/29/2017,Canada Pay,CANADA PAY,758.63,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
11/29/2017,Send E Tfr,SEND E-TFR CA***EZ3,2300,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
11/29/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HJ500,230.29,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
11/29/2017,Transfer to TD STUDENT CHEQUING ACCOUNT,Transfer to TD STUDENT CHEQUING ACCOUNT 6349656 HJ565,920,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
11/29/2017,Paiement Td,PAYMENT / PAIEMENT - TD,170,credit,Credit Card Payment,MASTERCARD,,
11/28/2017,Loblaws,LOBLAWS 95.3,5.28,debit,Groceries,MASTERCARD,,
11/28/2017,Send E Tfr,SEND E-TFR CA***svD,44,debit,Gift,TD STUDENT CHEQUING ACCOUNT,,
11/28/2017,E Transfer Ca,E-TRANSFER CA***wtQ,750,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/27/2017,Loblaws,LOBLAWS 95.3,5.04,debit,Groceries,MASTERCARD,,
11/27/2017,E Transfer Ca,E-TRANSFER CA***Ah5,775,credit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/27/2017,Transfer Personal Payee,Transfer to Personal Payee LINE J2W4Q9,61,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/26/2017,Loblaws,LOBLAWS 95.3,6.99,debit,Groceries,TD GREEN VISA,,
11/25/2017,Loblaws,LOBLAWS 95.3,18.81,debit,Groceries,MASTERCARD,,
11/24/2017,Donerma,DONERMA,12.42,debit,Restaurants,TD GREEN VISA,,
11/23/2017,Loblaws,LOBLAWS 95.3,23.6,debit,Groceries,MASTERCARD,,
11/22/2017,YMCA,YMCA-YWCA NATIONAL CAPITA,42.94,debit,Gym,TD GREEN VISA,,
11/20/2017,Tim Horton's,TIM HORTONS 4890 QTH,1.77,debit,Coffee Shops,TD GREEN VISA,,
11/20/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/20/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
11/19/2017,El Camino,EL CAMINO,18.85,debit,Restaurants,TD GREEN VISA,,
11/19/2017,Michaels,MICHAELS #3948,62.97,debit,Hobbies,TD GREEN VISA,,
11/18/2017,Loblaws,LOBLAWS 95.3,10.97,debit,Groceries,MASTERCARD,,
11/18/2017,Loblaws,LOBLAWS 95.3,10,debit,Groceries,MASTERCARD,,
11/18/2017,Capital Barber Shop,CAPITAL BARBER SHOP,40.68,debit,Hair,TD GREEN VISA,,
11/18/2017,Winners,WINNERS 269,20.32,debit,Furnishings,TD GREEN VISA,,
11/17/2017,LCBO,LCBO/RAO #0384,23.4,debit,Alcohol & Bars,TD GREEN VISA,,
11/17/2017,Td ATM Withdrawal,TD ATM W/D 007045,40,debit,Misc Expenses,TD STUDENT CHEQUING ACCOUNT,,
11/16/2017,iTunes,APL* ITUNES.COM/BILL,4.99,debit,Music,TD GREEN VISA,,
11/15/2017,Loblaws,LOBLAWS 95.3,18.71,debit,Groceries,MASTERCARD,,
11/15/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,20,credit,Credit Card Payment,TD GREEN VISA,,
11/15/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HJ301,100,credit,Hide from Budgets & Trends,TD HIGH INTEREST SAVINGS ACCOUNT,,
11/15/2017,Canada Pay,CANADA PAY,785.13,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
11/15/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card HJ413,20,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
11/15/2017,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT,Transfer to TD HIGH INTEREST SAVINGS ACCOUNT 6544718 HJ301,100,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/15/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Transfer to TD EVERY DAY SAVINGS ACCOUNT 6446058 HJ404,600,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/15/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Transfer from TD STUDENT CHEQUING ACCOUNT 6349656 HJ404,600,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
11/14/2017,Send E Tfr,SEND E-TFR CA***FbU,10,debit,Gift,TD STUDENT CHEQUING ACCOUNT,,
11/13/2017,Loblaws,LOBLAWS 95.3,35.77,debit,Groceries,MASTERCARD,,
11/13/2017,Carleton Univ Pag,CARLETON UNIV.-THE PAG,5.54,debit,Coffee Shops,TD GREEN VISA,,
11/12/2017,Wine Rack,WINE RACK 256,15.95,debit,Alcohol & Bars,TD GREEN VISA,,
11/10/2017,Loblaws,LOBLAWS 95.3,21.66,debit,Groceries,MASTERCARD,,
11/10/2017,Massine Y I,MASSINE'S Y.I.G 2691,8.74,debit,Groceries,MASTERCARD,,
11/10/2017,Rev Caeb Bsq,REV CAEB2BSQ 101017,70,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
11/9/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,500,credit,Credit Card Payment,TD GREEN VISA,,
11/9/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,150,credit,Credit Card Payment,TD GREEN VISA,,
11/9/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card IH151,500,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
11/9/2017,Transfer to TD EVERY DAY SAVINGS ACCOUNT,Simply Save to TD EVERY DAY SAVINGS ACCOUNT 05636446058,0.5,debit,Transfer,TD STUDENT CHEQUING ACCOUNT,,
11/9/2017,Transfer Td Ih,Transfer to TD Credit Card IH155,150,debit,Transfer,TD EVERY DAY SAVINGS ACCOUNT,,
11/9/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,Simply Save from TD STUDENT CHEQUING ACCOUNT 05636349656,0.5,credit,Hide from Budgets & Trends,TD EVERY DAY SAVINGS ACCOUNT,,
11/8/2017,Loblaws,LOBLAWS 95.3,13.09,debit,Groceries,MASTERCARD,,
11/8/2017,Tim Horton's,TIM HORTONS 2528 QPS,1.77,debit,Coffee Shops,TD GREEN VISA,,
11/8/2017,Ichiban Bakery F,ICHIBAN BAKERY _F,42.95,debit,Groceries,TD STUDENT CHEQUING ACCOUNT,,
11/7/2017,Art.com,ART.COM/ALLPOSTERS.COM,208.4,debit,Furnishings,TD GREEN VISA,,
11/6/2017,Paiement Td,PAYMENT / PAIEMENT - TD,150,credit,Credit Card Payment,MASTERCARD,,
11/6/2017,Transfer to TD GREEN VISA,President's Choice MasterCard U9Q4H8,150,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
11/5/2017,Winners,WINNERSHOMESENSE 31106,126.88,debit,Furnishings,TD GREEN VISA,,
11/3/2017,Loblaws,LOBLAWS 95.3,24.39,debit,Groceries,MASTERCARD,,
11/3/2017,Brothers Beer Bistro,BROTHERS BEER BISTRO,97.63,debit,Alcohol & Bars,TD GREEN VISA,,
11/1/2017,Loblaws,LOBLAWS 95.3,17.76,debit,Groceries,MASTERCARD,,
11/1/2017,Canada Pay,CANADA PAY,749.15,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/31/2017,Interest,INTEREST CREDIT,0.12,credit,Interest Income,TD EVERY DAY SAVINGS ACCOUNT,,
10/30/2017,Transfer from TD STUDENT CHEQUING ACCOUNT,PAYMENT - THANK YOU,186.15,credit,Credit Card Payment,TD GREEN VISA,,
10/30/2017,Blizzard Entertainment,BLIZZARD ENTERTAINM,79.09,debit,Amusement,TD GREEN VISA,,
10/30/2017,Email Tfr C,EMAIL TFR C2***VSw,12,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/30/2017,Email Tfr C,EMAIL TFR C0***Snw,2300,debit,Doctor,TD STUDENT CHEQUING ACCOUNT,,
10/30/2017,Transfer to TD GREEN VISA,Transfer to TD Credit Card RT460,186.15,debit,Hide from Budgets & Trends,TD STUDENT CHEQUING ACCOUNT,,
10/30/2017,Email Tfr C,EMAIL TFR C2***jyh,775,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
10/30/2017,Email Tfr C,EMAIL TFR C2***w7r,750,credit,Income,TD STUDENT CHEQUING ACCOUNT,,
